model,model_path,task_id,api,instruction_id,source_api_index,source_instance_index,target_tool,prompt_tokens,y_tokens,y_mean_token_probability,y_log_probability,z_tokens,z_mean_token_probability,z_log_probability,a_tokens,a_mean_token_probability,a_log_probability
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,PUBG::1,PUBG,1,460,6,getPlayer,609,42,0.8444674946898278,-32.83854866027832,15,0.7845727851799893,-18.63869857788086,27,0.8777423333064048,-14.199850082397461
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Rick and Morty::0,Rick and Morty,0,47,4,getAllLocations,1131,46,0.9230472595309434,-9.161481857299805,23,0.8636046014726162,-8.686872482299805,23,0.9824899175892705,-0.474609375
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Rick and Morty::1,Rick and Morty,1,47,5,getCharacterById,1124,40,0.946092263609171,-2.840057373046875,18,0.8947180327441957,-2.5629634857177734,22,0.9881257252259689,-0.27709388732910156
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,News::0,News,0,157,6,getTopHeadlines,1049,63,0.8382026781807594,-82.31803894042969,19,0.7430405555825287,-47.59725379943848,44,0.8792954129390864,-34.72078514099121
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,News::1,News,1,157,7,getEverything,1061,122,0.9017383325697479,-87.84261703491211,44,0.8836236576409482,-21.46381187438965,78,0.9119568671449682,-66.37880516052246
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Mixcloud::0,Mixcloud,0,373,0,search,685,52,0.8956926544367609,-28.438701629638672,19,0.8220248483236278,-12.030733108520508,33,0.9381074518958376,-16.407968521118164
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Mixcloud::1,Mixcloud,1,373,7,search,680,53,0.843700067936313,-40.0842227935791,16,0.7335976465610656,-20.555498123168945,37,0.891311925828312,-19.528724670410156
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Agify.io::0,Agify.io,0,355,3,getAge,355,36,0.868349974212675,-31.237207412719727,15,0.7137739853643466,-30.64674186706543,21,0.9787613948186238,-0.5904655456542969
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Agify.io::1,Agify.io,1,355,5,getAge,352,36,0.8747601943450604,-37.532230377197266,15,0.720262425081913,-37.15750694274902,21,0.9851157438187371,-0.3747234344482422
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,StackExchange__2::0,StackExchange__2,0,205,5,get-user,615,49,0.9293932338074153,-8.402338027954102,14,0.8099452495308859,-7.231998443603516,35,0.9771724275180271,-1.170339584350586
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,StackExchange__2::1,StackExchange__2,1,205,9,get-user,628,52,0.9306631681169025,-12.570316314697266,17,0.8187743030105005,-11.96279525756836,35,0.9850091883114406,-0.6075210571289062
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,WakaTime::0,WakaTime,0,256,0,getStats,876,74,0.9267541900047749,-45.09515380859375,17,0.8131800016257169,-24.063919067382812,57,0.9606271935564236,-21.031234741210938
